"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"357","pigeon pea tur","Kalmeshwar",2016,17.344724708435,1279
"358","pigeon pea tur","Manora",2016,15.6860336567989,1277
"359","sesamum","Nandura",2015,22.3443873027132,1275
"360","pigeon pea tur","Sindi",2015,22.1983914209115,1270
"361","sesamum","Ahmedpur",2014,14.277658734634,1266
"362","pigeon pea tur","Aarni",2016,15.6645962732919,1261
"363","sorgumjawar","Barshi",2015,87.8936319104269,1256
"364","pigeon pea tur","Telhara",2016,18.9861751152074,1256
"365","pigeon pea tur","Dhule",2015,25.2838221381268,1255
"366","pigeon pea tur","Ashti-Karanja",2016,16.9251517194875,1255
"367","sorgumjawar","Indapur-Bhigwan",2016,75,1254
"368","pigeon pea tur","Ghatanji",2015,17.6868829337094,1254
"369","pigeon pea tur","Ahmednagar",2016,24,1253
"370","pigeon pea tur","Newasa",2016,21.7391304347826,1250
"371","pigeon pea tur","Pombhurni",2016,15.1515151515152,1250
"372","sunflower","Shirpur",2016,47.5661172863166,1241
"373","sorgumjawar","Kurdwadi-Modnimb",2016,94.0015186028853,1238
"374","sorgumjawar","Barshi-Vairag",2015,101.232539030403,1232
"375","spilt gerrn gram","Mumbai",2014,15.3567864271457,1231
"376","pigeon pea tur","Paithan",2016,18.2600950118765,1230
"377","pigeon pea tur","Sindi",2016,18.0840088430361,1227
"378","wheathusked","Chalisgaon",2016,84.9030470914127,1226
"379","sorgumjawar","Barshi",2016,73.7272155876807,1223
"380","wheathusked","Kalamb (Os)",2016,45.0642054574639,1223
"381","sorgumjawar","Amarawati",2016,67.8333333333333,1221
"382","sorgumjawar","Phaltan",2014,76.8261964735516,1220
"383","cotton","Sailu",2016,31.7978415372466,1219
"384","pigeon pea tur","Lasur Station",2015,20.8451771840061,1219
"385","sesamum","Umarga",2015,21.3920704845815,1214
"386","sesamum","Gevrai",2014,11.1029748283753,1213
"387","wheathusked","Sangali",2014,75.1707014276847,1211
"388","wheathusked","Ausa",2016,76.0527969830295,1210
"389","grnut kernels","Ulhasnagar",2016,16.3796610169492,1208
"390","sorgumjawar","Sangali",2014,74.5061728395062,1207
"391","wheathusked","Indapur-Bhigwan",2015,89.5910780669145,1205
"392","ricepaddyhus","Pune-Pimpri",2015,31.7105263157895,1205
"393","wheathusked","Latur-Murud",2015,92.3846153846154,1201
"394","wheathusked","Indapur",2015,85.7857142857143,1201
"395","sesamum","Amalner",2014,12.2551020408163,1201
"396","pigeon pea tur","Patur",2015,26.6666666666667,1200
"397","sesamum","Dhule",2016,25.062656641604,1200
"398","sesamum","Mantha",2016,25,1200
"399","pigeon pea tur","Hingna",2015,23.0769230769231,1200
"400","grnut kernels","Kalyan",2015,17.6470588235294,1200
"401","pigeon pea tur","Nandura",2016,18.5809624165789,1199
"402","sesamum","Amarawati",2016,17.5522169292781,1197
"403","split black gram","Kolhapur-Laxmipuri",2015,11.7283950617284,1195
"404","pigeon pea tur","Telhara",2015,16.8429961912823,1194
"405","sesamum","Ahmedpur",2015,19.8664440734558,1190
"406","wheathusked","Yeotmal",2015,75.3180661577608,1184
"407","pigeon pea tur","Chandur Rly.",2015,16.1285928347637,1184
"408","pigeon pea tur","Dhamangaon-Rly",2016,16,1184
"409","sesamum","Nandura",2016,24.7282608695652,1183
"410","wheathusked","Sangali",2016,66.855845629966,1178
"411","wheatunhusked","Akkolkot",2014,43.5024065161051,1175
"412","ricepaddyhus","Palghar(Bevur)",2015,52.7740189445196,1170
"413","wheathusked","Solapur",2015,70.8484848484848,1169
"414","pigeon pea tur","Parli-Vaijnath",2016,15.2788688138256,1167
"415","sorgumjawar","Kurdwadi",2016,86.094674556213,1164
"416","sorgumjawar","Jamkhed",2016,65.4473832301632,1163
"417","pigeon pea tur","Rahuri-Vambori",2016,16.0835292490665,1163
"418","pigeon pea tur","Indapur-Bhigwan",2014,44.1736481340442,1160
